sbid,scan,nbeam,fch1,foff,nchans,nsamples,tsamp,tstart,srcra,srcdec,goodfrac,nant,ndm,trigger_threshold,pointra,pointdec,footprint,pitch,obsfreq,maxwidth,fmin,fmax,maxdm,obsconfig,w_bandwidth,w_goodfrac,w_nant,tobs,w_tot,t_eff,fbar,bfactors,alt,az
64927,25/20240819141547,35,847.9907407407406,1.0,240.0,3584.0,0.013824,60541.595567831086,295.43142931311826,-65.5693512228697,0.9278108465608468,21.0,256.0,9.0,295.55036428894937,-65.65179116897691,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8936946703746211,0.8146717551793567,49.545215999999996,0.6350177910955425,31.462093623671525,967.9907407407406,1.0233233710359553,51.04151261243152,182.24122251016937
64927,26/20240819142126,35,847.9907407407406,1.0,240.0,4096.0,0.013824,60541.59939759109,293.9129320130205,-64.93203345933581,0.935206886574074,21.0,256.0,9.0,294.02706522704545,-65.01446469080419,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.9044020628648951,0.8146717551793567,56.623104,0.6426259652885435,36.38747686563359,967.9907407407406,1.0233233710359553,51.52180763075363,184.3059405605892
64927,27/20240819142504,35,847.9907407407406,1.0,240.0,3584.0,0.013824,60541.602024151085,292.4657601535653,-64.28029993862403,0.929389880952381,21.0,256.0,9.0,292.57536640349986,-64.36267907387916,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8959770992856251,0.8146717551793567,49.545215999999996,0.6366395787300047,31.542445442327082,967.9907407407406,1.0233233710359553,51.96461615809708,186.12795706086536
64927,28/20240819142843,35,847.9907407407406,1.0,240.0,3840.0,0.013824,60541.60449327109,291.085671694762,-63.61507456761401,0.931520031587577,21.0,256.0,9.0,291.1910103767573,-63.69736480912646,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8990592170464796,0.8146717551793567,53.08416,0.638829587999696,33.91173206210994,967.9907407407406,1.0233233710359553,52.35482195602739,187.98220264425572
64927,29/20240819143222,35,847.9907407407406,1.0,240.0,4352.0,0.013824,60541.606968791086,289.7685960356416,-62.93718334778007,0.9267497276688452,21.0,256.0,9.0,289.8699113598134,-63.01935355099464,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8921619574715848,0.8146717551793567,60.162048,0.6339287167233502,38.138449884088594,967.9907407407406,1.0233233710359553,52.68670421436351,189.89391240377793
64927,30/20240819143611,35,847.9907407407406,1.0,240.0,4096.0,0.013824,60541.60966191109,294.8688598611424,-66.438772800054,0.9311848958333332,21.0,256.0,9.0,294.9899593812519,-66.52334780416594,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8985740748437585,0.8146717551793567,56.623104,0.6384848685556268,36.15299511465159,967.9907407407406,1.0233233710359553,49.83126478006886,185.59425727572625
64927,31/20240819143950,35,847.9907407407406,1.0,240.0,3584.0,0.013824,60541.612278231085,293.31315357567445,-65.7954435359733,0.9324735449735452,21.0,256.0,9.0,293.429152116105,-65.87993149011393,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.9004399994902882,0.8146717551793567,49.545215999999996,0.6398107076667555,31.699559710462257,967.9907407407406,1.0233233710359553,50.19957793835184,187.3634473903512
64927,32/20240819144329,35,847.9907407407406,1.0,240.0,4096.0,0.013824,60541.614731991096,291.83398158094303,-65.13760857157999,0.9353660300925928,21.0,256.0,9.0,291.94518716385045,-65.22196800129707,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.9046329249096018,0.8146717551793567,56.623104,0.642790005100503,36.39676530896631,967.9907407407406,1.0233233710359553,50.51538554125746,189.1582439146195
64927,33/20240819144708,35,847.9907407407406,1.0,240.0,4096.0,0.013824,60541.617271511095,290.42654403569367,-64.46625528481528,0.923191550925926,21.0,256.0,9.0,290.5332456798373,-64.55045173643556,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8870288225152685,0.8146717551793567,56.623104,0.63028135020164,35.68848644172788,967.9907407407406,1.0233233710359553,50.77194434431814,191.00128947074072
64927,34/20240819145047,35,847.9907407407406,1.0,240.0,4096.0,0.013824,60541.61987887109,289.08625939877487,-63.782262982842816,0.9131727430555556,21.0,256.0,9.0,289.1887276929513,-63.86626794629841,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8726285340885841,0.8146717551793567,56.623104,0.6200491762265858,35.1091089905923,967.9907407407406,1.0233233710359553,50.96493900727992,192.8922088668466
