,Unnamed: 0,sbid,scan,nbeam,fch1,foff,nchans,nsamples,tsamp,tstart,srcra,srcdec,goodfrac,nant,ndm,trigger_threshold,pointra,pointdec,footprint,pitch,obsfreq,maxwidth,fmin,fmax,maxdm,obsconfig,w_bandwidth,w_goodfrac,w_nant,tobs,w_tot,t_eff,fbar,bfactors
1037,1037,68257,00/20241120004702,36,887.9907407407406,1.0,144.0,61952.0,0.003456,60634.03376431109,153.13324291666666,12.317241456743297,0.5469881183650345,22.0,700.0,12.0,153.13324291666663,12.323379972222222,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.4045450011498281,0.8750385237975271,214.106112,0.2104851764108235,45.06616275495555,959.9907407407406,0.9780166813525476
1038,1038,68257,00/20241120005250,36,887.9907407407406,1.0,144.0,116992.0,0.003456,60634.03778479109,153.13324291666666,12.317241456743297,0.5470023828789814,22.0,700.0,12.0,153.13324291666663,12.323379972222222,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.4045608260148642,0.8750385237975271,404.324352,0.2104934101042305,85.10761164066327,959.9907407407406,0.9780166813525476
1039,1039,68258,00/20241120011710,36,887.9907407407406,1.0,144.0,13056.0,0.003456,60634.05468591109,156.27226291666668,7.182744650063057,0.9133677541473768,22.0,700.0,12.0,156.27226291666665,7.186287444444445,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.8729080781223454,0.8750385237975271,45.121536,0.4541749627156229,20.49307193047164,959.9907407407406,0.9780166813525476
1040,1040,68259,00/20241120012358,36,887.9907407407406,1.0,144.0,116992.0,0.003456,60634.05939887109,159.95992541666664,2.446081034329665,0.9124180397293178,22.0,700.0,12.0,159.95992541666666,2.447281916666667,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.8715469650676673,0.8750385237975271,404.324352,0.4534667742060265,183.34765963438196,959.9907407407406,0.9780166813525476
1041,1041,68259,00/20241120013226,36,887.9907407407406,1.0,144.0,16384.0,0.003456,60634.06527023109,159.95992541666664,2.446081034329665,0.915927416012611,22.0,700.0,12.0,159.95992541666666,2.447281916666667,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.8765800615955792,0.8750385237975271,56.623104,0.4560854994592347,25.82497666877219,959.9907407407406,0.9780166813525476
1042,1042,68259,00/20241120013505,36,887.9907407407406,1.0,144.0,27648.0,0.003456,60634.067127511094,159.95992541666664,2.446081034329665,0.9096876579602122,22.0,700.0,12.0,159.95992541666666,2.447281916666667,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.8676377786681461,0.8750385237975271,95.551488,0.4514328205381099,43.13507773445336,959.9907407407406,0.9780166813525476
1043,1043,68260,00/20241120014551,36,887.9907407407406,1.0,144.0,218624.0,0.003456,60634.07467055109,150.55775708333334,17.770852255122847,0.899971513221245,21.0,700.0,12.0,150.5577570833333,17.77986313888889,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.8537744311694061,0.8146717551793567,755.564544,0.4135740750887714,312.48190745466934,959.9907407407406,0.9780166813525476
1044,1044,68261,00/20241120020612,36,887.9907407407406,1.0,144.0,10240.0,0.003456,60634.08872239109,153.13324291666666,12.317241456743297,0.8871280999831214,22.0,700.0,12.0,153.13324291666663,12.323379972222222,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.835563583430324,0.8750385237975271,35.38944,0.4347445840658272,15.385367373122548,959.9907407407406,0.9780166813525476
1045,1045,68261,00/20241120020900,36,887.9907407407406,1.0,144.0,30976.0,0.003456,60634.09066543109,153.13324291666666,12.317241456743297,0.909630846969936,22.0,700.0,12.0,153.13324291666663,12.323379972222222,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.8675565025432153,0.8750385237975271,107.053056,0.4513905324874717,48.32273595225112,959.9907407407406,0.9780166813525476
1046,1046,68261,00/20241120021259,36,887.9907407407406,1.0,144.0,16640.0,0.003456,60634.09342639108,153.13324291666666,12.317241456743297,0.9211653808130044,22.0,700.0,12.0,153.13324291666663,12.323379972222222,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.8841102221631822,0.8750385237975271,57.507839999999995,0.4600034496773039,26.453804783490444,959.9907407407406,0.9780166813525476
